Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V10_10,1,6,100,200,0.0,425.1,425.1,4430,0,6,502.6,100.0,93.2,6.8,Greedy Insertion (100% Coverage) / Balanced,True
V09_9,2,4,100,200,0.0,380.9,380.9,3975,1,3,165.3,100.0,94.5,5.5,Greedy Insertion (100% Coverage) / Balanced,True
V08_8,3,5,110,200,0.0,464.5,464.5,4871,1,4,457.2,100.0,93.1,6.9,Greedy Insertion (100% Coverage) / Balanced,True
V07_7,4,6,100,200,0.0,697.3,697.3,7328,0,6,635.7,100.0,89.5,10.5,Greedy Insertion (100% Coverage) / Balanced,True
V06_6,5,6,120,200,0.0,584.1,584.1,6109,0,6,660.1,100.0,91.0,9.0,Greedy Insertion (100% Coverage) / Balanced,True
V05_5,6,6,110,200,0.0,773.9,773.9,8122,0,6,1354.0,100.0,87.1,12.9,Greedy Insertion (100% Coverage) / Balanced,True
V04_4,7,5,110,200,0.0,441.4,441.4,4615,0,5,576.2,100.0,93.2,6.8,Greedy Insertion (100% Coverage) / Balanced,True
V03_3,8,4,60,200,0.0,522.3,522.3,5655,0,4,399.8,100.0,91.6,8.4,Greedy Insertion (100% Coverage) / Balanced,True
V02_2,9,5,90,200,0.0,402.1,402.1,4239,0,5,280.8,100.0,93.5,6.5,Greedy Insertion (100% Coverage) / Balanced,True
V01_1,10,3,70,200,0.0,392.9,392.9,4145,1,2,226.6,100.0,94.6,5.4,Greedy Insertion (100% Coverage) / Balanced,True
