Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V03_3,8,0,Depot,121.546115,29.872262,25.0,C002,121.536792,29.883570,25.0,1545.7,1575.7,1.019,4,0.00,128.41,128.41,15.0,12.3,100.0,98.0,30,30,50.0,80.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,3,0,Depot,121.546115,29.872262,25.0,C010,121.530576,29.867738,25.0,1580.5,1604.9,1.015,5,0.00,130.76,130.76,15.0,12.3,100.0,98.3,130,130,119.0,149.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,4,0,Depot,121.546115,29.872262,25.0,C041,121.555439,29.883570,25.0,1545.7,1586.2,1.026,6,0.00,131.89,131.89,15.0,12.0,100.0,98.2,100,100,92.0,122.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06_6,5,0,Depot,121.546115,29.872262,25.0,C011,121.529540,29.867738,25.0,1675.5,1701.7,1.016,5,0.00,137.75,137.75,15.0,12.4,100.0,97.8,40,40,59.0,89.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01_1,10,0,Depot,121.546115,29.872262,25.0,C009,121.530576,29.865477,25.0,1677.6,1697.6,1.012,4,0.00,139.08,139.08,15.0,12.2,100.0,98.3,30,30,91.0,121.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,1,0,Depot,121.546115,29.872262,25.0,C006,121.534720,29.883570,25.0,1669.8,1723.7,1.032,7,0.00,142.31,142.31,15.0,12.1,100.0,98.0,100,100,95.0,125.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,2,0,Depot,121.546115,29.872262,25.0,C022,121.546115,29.856430,25.0,1760.4,1780.4,1.011,4,0.00,146.25,146.25,15.0,12.2,100.0,97.7,130,130,92.0,122.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,6,0,Depot,121.546115,29.872262,25.0,C050,121.562690,29.865477,25.0,1767.3,1799.7,1.018,5,0.00,151.07,151.07,15.0,11.9,100.0,97.7,200,200,116.0,146.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,7,0,Depot,121.546115,29.872262,25.0,C039,121.556475,29.885831,25.0,1809.5,1861.4,1.029,7,0.00,152.24,152.24,15.0,12.2,100.0,96.9,150,150,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02_2,9,0,Depot,121.546115,29.872262,25.0,C045,121.535756,29.886736,25.0,1894.2,1924.2,1.016,4,0.00,156.93,156.93,15.0,12.3,100.0,97.2,60,60,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,1,1,C006,121.534720,29.883570,35.0,C007,121.533166,29.883570,25.0,150.1,159.8,1.064,4,143.79,159.25,15.45,30.0,10.3,98.0,97.7,80,80,79.0,109.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01_1,10,1,C009,121.530576,29.865477,35.0,C013,121.527987,29.865477,25.0,249.9,259.7,1.039,4,140.38,164.00,23.62,30.0,11.0,98.3,97.9,10,10,142.0,172.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,7,1,C039,121.556475,29.885831,35.0,C038,121.557510,29.885831,25.0,100.4,109.9,1.095,4,153.39,164.00,10.61,30.0,10.4,96.9,96.7,140,140,75.0,105.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,2,1,C022,121.546115,29.856430,35.0,C049,121.547151,29.855073,25.0,181.2,191.0,1.054,4,147.51,165.14,17.63,30.0,10.8,97.7,97.4,90,90,104.0,134.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,3,1,C010,121.530576,29.867738,35.0,C015,121.526433,29.867738,25.0,399.7,409.6,1.025,4,131.89,167.61,35.72,15.0,11.5,98.3,97.7,100,100,58.0,88.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02_2,9,1,C045,121.535756,29.886736,35.0,C005,121.535756,29.888093,25.0,151.2,160.9,1.064,4,158.10,173.46,15.35,30.0,10.5,97.2,97.0,50,50,41.0,71.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,4,1,C041,121.555439,29.883570,35.0,C037,121.559064,29.886736,25.0,496.2,506.1,1.020,4,133.08,176.88,43.80,30.0,11.6,98.2,97.5,80,80,124.0,154.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,3,2,C015,121.526433,29.867738,45.0,C016,121.525397,29.867738,25.0,101.9,109.9,1.079,4,168.81,179.16,10.35,30.0,10.6,97.7,97.5,80,80,72.0,102.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,1,2,C007,121.533166,29.883570,45.0,C008,121.533166,29.885831,25.0,252.3,261.5,1.036,4,160.61,182.93,22.32,30.0,11.7,97.7,97.4,60,60,91.0,121.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02_2,9,2,C005,121.535756,29.888093,45.0,C003,121.536792,29.888093,25.0,101.9,109.9,1.079,4,174.59,185.20,10.62,30.0,10.4,97.0,96.8,30,30,109.0,139.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,7,2,C038,121.557510,29.885831,45.0,C036,121.559064,29.888093,25.0,293.4,328.1,1.118,5,165.14,191.02,25.88,30.0,12.7,96.7,96.3,110,110,43.0,73.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,4,2,C037,121.559064,29.886736,45.0,C035,121.560100,29.888093,25.0,182.0,190.9,1.049,4,178.03,195.96,17.94,30.0,10.6,97.5,97.2,70,70,139.0,169.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,2,2,C049,121.547151,29.855073,45.0,C048,121.547151,29.851907,25.0,352.6,362.1,1.027,4,166.31,197.10,30.79,30.0,11.8,97.4,96.8,80,80,151.0,181.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,1,3,C008,121.533166,29.885831,55.0,C046,121.534720,29.885831,25.0,152.8,159.8,1.046,4,184.09,199.43,15.33,30.0,10.4,97.4,97.1,50,50,113.0,143.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02_2,9,3,C003,121.536792,29.888093,55.0,C001,121.538346,29.888093,25.0,152.8,159.8,1.046,4,186.26,201.71,15.44,30.0,10.3,96.8,96.6,20,20,145.0,175.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,3,3,C016,121.525397,29.867738,55.0,C017,121.525397,29.870000,25.0,253.3,261.5,1.032,4,180.35,203.03,22.68,30.0,11.5,97.5,97.1,60,60,149.0,179.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,6,1,C050,121.562690,29.865477,35.0,C034,121.569424,29.865477,25.0,649.4,659.3,1.015,4,152.24,207.36,55.13,30.0,12.0,97.7,96.6,170,170,111.0,141.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,2,3,C048,121.547151,29.851907,55.0,C021,121.546115,29.851907,25.0,104.3,109.9,1.054,4,198.29,209.74,11.44,30.0,9.6,96.8,96.7,70,70,67.0,97.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,1,4,C046,121.534720,29.885831,65.0,C004,121.535756,29.885831,25.0,107.6,109.9,1.021,4,200.60,212.13,11.53,30.0,9.5,97.1,96.9,40,40,141.0,171.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,3,4,C017,121.525397,29.870000,65.0,C047,121.526433,29.870000,25.0,107.6,109.9,1.021,4,204.32,215.98,11.66,30.0,9.4,97.1,96.9,40,40,45.0,75.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
