Drone,RouteIndex,StopIndex,CustomerNo,Demand,PlannedArrival,ActualArrival,ReadyTime,DueTime,ServiceTime,OnTime,Late,Lateness,WaitTime,SpeedMps,BatteryPct,CargoLoad,Longitude,Latitude,Timestamp
V05,6,1,175,10,61.2,83.1,262.0,329.0,90.0,YES,NO,0.0,178.9,15.0,98.8,200,121.545597,29.862763,2026-04-07 21:54:59
V04,7,1,131,30,87.7,90.2,80.0,153.0,90.0,YES,NO,0.0,0.0,15.0,98.7,200,121.552331,29.881760,2026-04-07 21:54:59
V03,8,1,90,10,71.3,98.0,641.0,697.0,90.0,YES,NO,0.0,543.0,15.0,98.5,200,121.543525,29.862310,2026-04-07 21:54:59
V09,2,1,178,10,74.9,106.1,88.0,141.0,90.0,YES,NO,0.0,0.0,15.0,98.4,200,121.561136,29.873619,2026-04-07 21:54:59
V04,7,2,44,20,187.7,108.8,176.0,243.0,90.0,YES,NO,0.0,67.2,15.0,98.4,170,121.552331,29.883117,2026-04-07 21:54:59
V10,1,1,26,20,155.6,118.2,201.0,258.0,90.0,YES,NO,0.0,82.8,15.0,98.2,200,121.566834,29.885379,2026-04-07 21:54:59
V04,7,3,102,20,284.4,122.3,273.0,330.0,90.0,YES,NO,0.0,150.7,15.0,98.3,150,121.553367,29.883117,2026-04-07 21:54:59
V09,2,2,27,30,190.0,133.7,178.0,238.0,90.0,YES,NO,0.0,44.3,15.0,98.1,190,121.562172,29.872262,2026-04-07 21:55:00
V10,1,2,152,30,298.5,139.7,296.0,347.0,90.0,YES,NO,0.0,156.3,15.0,98.0,180,121.567352,29.886284,2026-04-07 21:55:00
V04,7,4,146,20,379.1,141.0,356.0,429.0,90.0,YES,NO,0.0,215.0,15.0,98.1,130,121.553885,29.883570,2026-04-07 21:55:00
V10,1,3,40,20,391.8,150.0,390.0,434.0,90.0,YES,NO,0.0,240.0,15.0,97.9,150,121.567870,29.886284,2026-04-07 21:55:00
V09,2,3,173,10,289.4,153.2,278.0,325.0,90.0,YES,NO,0.0,124.8,15.0,97.9,160,121.563208,29.873166,2026-04-07 21:55:00
V04,7,5,68,10,483.2,170.2,457.0,518.0,90.0,YES,NO,0.0,286.8,15.0,97.8,110,121.555439,29.882213,2026-04-07 21:55:00
V10,1,4,153,10,492.3,170.2,472.0,539.0,90.0,YES,NO,0.0,301.8,15.0,97.7,130,121.569424,29.885831,2026-04-07 21:55:00
V09,2,4,154,10,390.0,172.8,351.0,437.0,90.0,YES,NO,0.0,178.2,15.0,97.6,150,121.563726,29.871809,2026-04-07 21:55:00
V02,9,1,41,20,130.0,190.7,95.0,163.0,90.0,NO,YES,27.7,0.0,30.0,96.8,200,121.570460,29.870452,2026-04-07 21:55:01
V09,2,5,24,10,494.9,197.6,467.0,511.0,90.0,YES,NO,0.0,269.4,15.0,97.3,140,121.564762,29.870000,2026-04-07 21:55:01
V04,7,6,76,30,591.2,199.0,555.0,610.0,90.0,YES,NO,0.0,356.0,15.0,97.4,100,121.554403,29.879951,2026-04-07 21:55:01
V07,4,1,119,20,140.6,199.0,188.0,260.0,90.0,YES,NO,0.0,0.0,15.0,97.0,200,121.528505,29.871809,2026-04-07 21:55:01
V10,1,5,169,20,600.3,199.0,567.0,634.0,90.0,YES,NO,0.0,368.0,15.0,97.3,120,121.568388,29.888093,2026-04-07 21:55:01
V02,9,2,85,20,230.0,210.3,193.0,252.0,90.0,YES,NO,0.0,0.0,30.0,96.5,180,121.572013,29.870452,2026-04-07 21:55:01
V10,1,6,89,20,697.7,217.2,668.0,719.0,90.0,YES,NO,0.0,450.8,15.0,97.1,100,121.567352,29.888545,2026-04-07 21:55:01
V07,4,2,166,10,288.5,218.6,284.0,349.0,90.0,YES,NO,0.0,65.4,15.0,96.8,180,121.527987,29.873166,2026-04-07 21:55:01
V02,9,3,80,10,323.4,220.1,286.0,341.0,90.0,YES,NO,0.0,65.9,30.0,96.3,160,121.572531,29.870452,2026-04-07 21:55:01
V06,5,1,183,20,151.5,220.1,976.0,1025.0,90.0,YES,NO,0.0,755.9,15.0,96.7,200,121.532130,29.883117,2026-04-07 21:55:01
V09,2,6,61,20,598.2,221.4,556.0,610.0,90.0,YES,NO,0.0,334.6,15.0,97.1,130,121.562690,29.870000,2026-04-07 21:55:01
V10,1,7,105,10,792.4,228.4,754.0,814.0,90.0,YES,NO,0.0,525.6,15.0,97.0,80,121.566834,29.888093,2026-04-07 21:55:02
V02,9,4,31,20,420.0,234.0,370.0,440.0,90.0,YES,NO,0.0,136.0,30.0,96.1,150,121.572531,29.869548,2026-04-07 21:55:02
