Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V03_3,8,0,Depot,121.546115,29.872262,25.0,C002,121.536792,29.883570,25.0,1545.7,1575.7,1.019,4,0.00,123.34,123.34,15.0,12.8,100.0,98.0,70,70,50.0,80.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,1,0,Depot,121.546115,29.872262,25.0,C042,121.553885,29.885831,25.0,1684.6,1734.1,1.029,7,0.00,128.11,128.11,15.0,13.5,100.0,97.7,70,70,33.0,63.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,6,0,Depot,121.546115,29.872262,25.0,C041,121.555439,29.883570,25.0,1545.7,1576.1,1.020,6,0.00,129.33,129.33,15.0,12.2,100.0,98.5,60,60,92.0,122.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,2,0,Depot,121.546115,29.872262,25.0,C012,121.529540,29.870000,25.0,1617.8,1650.5,1.020,5,0.00,131.63,131.63,15.0,12.5,100.0,97.8,110,110,64.0,94.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,4,0,Depot,121.546115,29.872262,25.0,C039,121.556475,29.885831,25.0,1809.5,1855.6,1.025,6,0.00,138.12,138.12,15.0,13.4,100.0,97.5,70,70,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,1,1,C042,121.553885,29.885831,35.0,C044,121.553885,29.886736,25.0,101.1,110.6,1.094,4,129.33,140.55,11.22,30.0,9.9,97.7,97.5,60,60,64.0,94.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,3,0,Depot,121.546115,29.872262,25.0,C045,121.535756,29.886736,25.0,1894.2,1924.2,1.016,4,0.00,142.88,142.88,15.0,13.5,100.0,97.4,70,70,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,7,0,Depot,121.546115,29.872262,25.0,C047,121.526433,29.870000,25.0,1914.4,1950.0,1.019,5,0.00,146.46,146.46,15.0,13.3,100.0,97.6,40,40,45.0,75.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,2,1,C012,121.529540,29.870000,35.0,C014,121.527987,29.870000,25.0,150.2,159.8,1.064,4,133.26,149.13,15.87,30.0,10.1,97.8,97.5,90,90,35.0,65.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,4,1,C039,121.556475,29.885831,35.0,C038,121.557510,29.885831,25.0,100.4,109.9,1.095,4,139.40,150.36,10.96,30.0,10.0,97.5,97.4,60,60,75.0,105.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06_6,5,0,Depot,121.546115,29.872262,25.0,C005,121.535756,29.888093,25.0,2024.0,2049.5,1.013,5,0.00,152.73,152.73,15.0,13.4,100.0,97.3,50,50,41.0,71.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
