Drone,RouteIndex,StopIndex,CustomerNo,Demand,PlannedArrival,ActualArrival,ReadyTime,DueTime,ServiceTime,OnTime,Late,Lateness,WaitTime,SpeedMps,BatteryPct,CargoLoad,Longitude,Latitude,Timestamp
V01,1,1,113,10,51.0,86.8,15.0,62.0,90.0,NO,YES,24.8,0.0,30.0,98.8,100,121.548705,29.863215,2026-03-19 22:09:15
V04,4,1,45,10,64.1,120.1,19.0,94.0,90.0,NO,YES,26.1,0.0,30.0,98.1,190,121.560100,29.871357,2026-03-19 22:09:15
V02,2,1,62,20,77.8,122.9,23.0,66.0,90.0,NO,YES,56.9,0.0,30.0,97.7,200,121.552331,29.880403,2026-03-19 22:09:15
V07,7,1,178,10,74.9,136.6,88.0,141.0,90.0,YES,NO,0.0,0.0,15.0,98.4,130,121.561136,29.873619,2026-03-19 22:09:16
V02,2,2,44,20,187.8,157.5,176.0,243.0,90.0,YES,NO,0.0,18.5,30.0,97.0,180,121.552331,29.883117,2026-03-19 22:09:16
V07,7,2,27,30,190.0,158.9,0.0,1238.0,90.0,YES,NO,0.0,0.0,15.0,98.1,120,121.562172,29.872262,2026-03-19 22:09:16
V07,7,3,173,10,289.4,177.3,278.0,325.0,90.0,YES,NO,0.0,100.7,15.0,97.9,90,121.563208,29.873166,2026-03-19 22:09:16
V04,4,2,41,20,221.1,219.9,0.0,1222.0,90.0,YES,NO,0.0,0.0,30.0,96.0,180,121.570460,29.870452,2026-03-19 22:09:17
V02,2,3,192,20,330.5,235.7,275.0,350.0,90.0,YES,NO,0.0,39.3,30.0,95.5,160,121.559064,29.887188,2026-03-19 22:09:18
V04,4,3,80,10,324.5,248.4,286.0,341.0,90.0,YES,NO,0.0,37.6,30.0,95.5,160,121.572531,29.870452,2026-03-19 22:09:18
V03,3,1,93,10,170.1,249.8,51.0,93.0,90.0,NO,YES,156.8,0.0,30.0,95.2,140,121.528505,29.883117,2026-03-19 22:09:18
V04,4,4,31,20,421.1,261.8,370.0,440.0,90.0,YES,NO,0.0,108.2,30.0,95.3,150,121.572531,29.869548,2026-03-19 22:09:18
V04,4,5,25,10,518.6,275.8,462.0,534.0,90.0,YES,NO,0.0,186.2,30.0,95.1,130,121.572013,29.868643,2026-03-19 22:09:18
V02,2,4,146,20,463.2,303.1,0.0,1231.0,90.0,YES,NO,0.0,0.0,30.0,94.2,140,121.553885,29.883570,2026-03-19 22:09:19
V01,1,2,34,10,295.7,313.4,0.0,1203.0,90.0,YES,NO,0.0,0.0,30.0,94.6,90,121.529540,29.850550,2026-03-19 22:09:19
V05,5,1,170,10,217.1,318.5,65.0,126.0,90.0,NO,YES,192.5,0.0,30.0,93.7,160,121.575121,29.889902,2026-03-19 22:09:19
V04,4,6,20,30,639.3,320.9,0.0,1228.0,90.0,YES,NO,0.0,0.0,30.0,94.2,120,121.567352,29.869548,2026-03-19 22:09:19
V06,6,1,148,20,234.0,334.6,70.0,141.0,90.0,NO,YES,193.6,0.0,30.0,93.3,170,121.579783,29.851455,2026-03-19 22:09:20
V05,5,2,156,20,320.8,341.5,307.0,374.0,90.0,YES,NO,0.0,0.0,30.0,93.3,150,121.577193,29.889450,2026-03-19 22:09:20
V04,4,7,110,30,753.3,358.1,748.0,800.0,90.0,YES,NO,0.0,389.9,30.0,93.6,90,121.569424,29.866834,2026-03-19 22:09:20
V05,5,3,42,30,421.3,359.4,0.0,1197.0,90.0,YES,NO,0.0,0.0,30.0,93.0,130,121.576675,29.888093,2026-03-19 22:09:20
V09,9,1,161,10,256.1,364.6,76.0,144.0,90.0,NO,YES,220.6,0.0,30.0,93.5,80,121.519181,29.891712,2026-03-19 22:09:20
V02,2,5,28,20,598.5,367.1,0.0,1222.0,90.0,YES,NO,0.0,0.0,30.0,93.0,120,121.560618,29.885379,2026-03-19 22:09:20
V04,4,8,77,10,857.5,381.0,0.0,1221.0,90.0,YES,NO,0.0,0.0,30.0,93.2,60,121.570978,29.868191,2026-03-19 22:09:20
V05,5,4,168,10,529.3,386.2,507.0,543.0,90.0,YES,NO,0.0,120.8,30.0,92.5,100,121.579265,29.888998,2026-03-19 22:09:21
V04,4,9,172,20,950.8,390.1,0.0,1220.0,90.0,YES,NO,0.0,0.0,30.0,93.1,50,121.571495,29.868191,2026-03-19 22:09:21
V05,5,5,79,20,622.6,395.1,595.0,636.0,90.0,YES,NO,0.0,199.9,30.0,92.4,90,121.579783,29.888998,2026-03-19 22:09:21
V10,10,1,32,10,282.9,397.7,84.0,147.0,90.0,NO,YES,250.7,0.0,30.0,92.8,90,121.580819,29.842408,2026-03-19 22:09:21
V08,8,1,177,10,289.4,405.0,86.0,142.0,90.0,NO,YES,263.0,0.0,30.0,92.6,100,121.522289,29.900758,2026-03-19 22:09:21
V03,3,2,54,30,378.1,409.0,319.0,398.0,90.0,NO,YES,11.0,0.0,30.0,92.1,130,121.516073,29.894878,2026-03-19 22:09:21
V04,4,10,85,20,1057.8,416.8,0.0,1219.0,90.0,YES,NO,0.0,0.0,30.0,92.7,30,121.572013,29.870452,2026-03-19 22:09:21
V05,5,6,87,20,727.5,418.2,778.0,825.0,90.0,YES,NO,0.0,359.8,30.0,92.0,70,121.578747,29.887188,2026-03-19 22:09:21
V05,5,7,29,10,874.7,430.6,0.0,1193.0,90.0,YES,NO,0.0,0.0,30.0,91.9,50,121.579783,29.887188,2026-03-19 22:09:21
V02,2,6,89,20,737.7,434.4,0.0,1209.0,90.0,YES,NO,0.0,0.0,30.0,91.7,100,121.567352,29.888545,2026-03-19 22:09:22
V03,3,3,132,30,497.9,451.1,515.0,585.0,90.0,YES,NO,0.0,63.9,30.0,91.4,100,121.514002,29.891259,2026-03-19 22:09:22
V05,5,8,112,20,983.5,459.0,0.0,1194.0,90.0,YES,NO,0.0,0.0,30.0,91.4,40,121.577711,29.888998,2026-03-19 22:09:22
V07,7,4,75,30,591.8,467.0,0.0,1179.0,90.0,YES,NO,0.0,0.0,15.0,94.6,80,121.575639,29.899853,2026-03-19 22:09:22
V06,6,2,115,30,425.3,469.7,0.0,1165.0,90.0,YES,NO,0.0,0.0,30.0,90.6,150,121.584445,29.838337,2026-03-19 22:09:22
V08,8,2,127,10,430.2,474.8,526.0,584.0,90.0,YES,NO,0.0,51.2,30.0,91.3,90,121.515037,29.898044,2026-03-19 22:09:22
V01,1,3,43,20,510.5,480.0,448.0,517.0,90.0,YES,NO,0.0,0.0,30.0,91.6,80,121.545597,29.860049,2026-03-19 22:09:22
V06,6,3,94,20,525.8,487.8,0.0,1167.0,90.0,YES,NO,0.0,0.0,30.0,90.3,120,121.584963,29.839694,2026-03-19 22:09:23
V04,4,11,154,10,1202.1,491.7,0.0,1235.0,90.0,YES,NO,0.0,0.0,30.0,91.5,10,121.563726,29.871809,2026-03-19 22:09:23
V02,2,7,196,10,869.0,493.0,0.0,1218.0,90.0,YES,NO,0.0,0.0,30.0,90.7,80,121.561136,29.887188,2026-03-19 22:09:23
V10,10,2,141,10,443.5,493.0,406.0,482.0,90.0,NO,YES,11.0,0.0,30.0,91.1,80,121.584445,29.851455,2026-03-19 22:09:23
V09,9,2,151,10,444.5,495.4,509.0,571.0,90.0,YES,NO,0.0,13.6,30.0,91.2,70,121.532648,29.898044,2026-03-19 22:09:23
V07,7,5,195,20,701.8,497.9,0.0,1184.0,90.0,YES,NO,0.0,0.0,15.0,94.3,50,121.575639,29.897139,2026-03-19 22:09:23
V06,6,4,51,10,625.8,505.4,611.0,678.0,90.0,YES,NO,0.0,105.6,30.0,90.0,100,121.584963,29.841051,2026-03-19 22:09:23
V09,9,3,16,10,609.0,515.8,598.0,669.0,90.0,YES,NO,0.0,82.2,30.0,90.9,60,121.532648,29.899401,2026-03-19 22:09:23
V10,10,3,200,20,551.5,519.8,0.0,1189.0,90.0,YES,NO,0.0,0.0,30.0,90.7,70,121.581855,29.852359,2026-03-19 22:09:23
V02,2,8,19,20,980.0,524.9,0.0,1222.0,90.0,YES,NO,0.0,0.0,30.0,90.2,70,121.558028,29.886284,2026-03-19 22:09:23
V06,6,5,174,30,730.7,528.6,723.0,756.0,90.0,YES,NO,0.0,194.4,30.0,89.6,90,121.585998,29.842861,2026-03-19 22:09:23
V07,7,6,163,10,812.0,528.6,0.0,1179.0,90.0,YES,NO,0.0,0.0,15.0,94.0,30,121.576157,29.899853,2026-03-19 22:09:23
V09,9,4,140,20,711.0,536.5,704.0,749.0,90.0,YES,NO,0.0,167.5,30.0,90.6,50,121.531612,29.900758,2026-03-19 22:09:24
V10,10,4,69,20,651.5,537.9,0.0,1187.0,90.0,YES,NO,0.0,0.0,30.0,90.4,50,121.583409,29.852359,2026-03-19 22:09:24
V03,3,4,98,10,670.7,540.6,629.0,677.0,90.0,YES,NO,0.0,88.4,30.0,89.8,70,121.519181,29.898949,2026-03-19 22:09:24
V05,5,9,145,20,1136.9,545.8,0.0,1181.0,90.0,YES,NO,0.0,0.0,30.0,90.0,20,121.577193,29.897592,2026-03-19 22:09:24
V08,8,3,117,10,675.1,556.1,0.0,1184.0,90.0,YES,NO,0.0,0.0,30.0,89.9,80,121.517627,29.890355,2026-03-19 22:09:24
V03,3,5,157,10,777.4,566.4,712.0,784.0,90.0,YES,NO,0.0,145.6,30.0,89.4,60,121.521253,29.897592,2026-03-19 22:09:24
V06,6,6,65,20,847.6,567.7,0.0,1168.0,90.0,YES,NO,0.0,0.0,30.0,89.0,60,121.583927,29.839694,2026-03-19 22:09:24
V02,2,9,102,20,1108.0,579.3,0.0,1232.0,90.0,YES,NO,0.0,0.0,30.0,89.3,50,121.553367,29.883117,2026-03-19 22:09:24
V06,6,7,171,30,947.6,586.0,0.0,1170.0,90.0,YES,NO,0.0,0.0,30.0,88.7,40,121.583927,29.841051,2026-03-19 22:09:25
V08,8,4,7,10,793.3,597.5,0.0,1182.0,90.0,YES,NO,0.0,0.0,30.0,89.2,70,121.514520,29.887641,2026-03-19 22:09:25
V02,2,10,131,30,1210.1,600.0,0.0,1235.0,90.0,YES,NO,0.0,0.0,30.0,89.0,30,121.552331,29.881760,2026-03-19 22:09:25
V03,3,6,186,20,906.4,622.3,0.0,1168.0,90.0,YES,NO,0.0,0.0,30.0,88.5,50,121.515555,29.899401,2026-03-19 22:09:25
V10,10,5,136,10,804.9,624.8,797.0,874.0,90.0,YES,NO,0.0,172.2,30.0,89.0,30,121.582891,29.843765,2026-03-19 22:09:25
V08,8,5,181,20,904.7,629.8,0.0,1184.0,90.0,YES,NO,0.0,0.0,30.0,88.6,60,121.517109,29.889450,2026-03-19 22:09:25
V10,10,6,189,10,902.3,638.8,0.0,1177.0,90.0,YES,NO,0.0,0.0,30.0,88.8,20,121.581855,29.843313,2026-03-19 22:09:26
V07,7,7,123,10,995.6,653.6,972.0,1008.0,90.0,YES,NO,0.0,318.4,15.0,92.8,20,121.575121,29.887188,2026-03-19 22:09:26
V08,8,6,104,20,1015.8,661.1,0.0,1182.0,90.0,YES,NO,0.0,0.0,30.0,88.1,40,121.518145,29.892164,2026-03-19 22:09:26
V06,6,8,124,10,1098.4,667.5,0.0,1184.0,90.0,YES,NO,0.0,0.0,30.0,87.4,10,121.582373,29.849193,2026-03-19 22:09:26
V03,3,7,18,10,1036.7,677.3,0.0,1179.0,90.0,YES,NO,0.0,0.0,30.0,87.6,30,121.518145,29.894426,2026-03-19 22:09:26
