Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,9,150,200,229.5,1848.0,1618.6,10449,0,9,3242.0,100.0,76.1,23.9,Efficiency,True
V02,2,9,140,200,229.5,2356.7,2127.2,13064,0,9,4755.3,100.0,67.0,33.0,Efficiency,True
V03,3,8,140,200,229.5,3060.8,2831.3,17147,0,8,4157.5,100.0,56.1,43.9,Efficiency,True
V04,4,8,200,200,229.5,2241.0,2011.5,12544,0,8,4013.8,100.0,68.1,31.9,Efficiency,True
V05,5,8,140,200,229.5,2107.7,1878.2,11756,0,8,4931.7,100.0,71.1,28.9,Efficiency,True
V06,6,9,150,200,229.5,1618.9,1389.4,9057,0,9,2880.5,100.0,79.9,20.1,Efficiency,True
V07,7,9,190,200,229.5,1809.0,1579.5,10213,0,9,3394.8,100.0,76.2,23.8,Efficiency,True
V08,8,8,110,200,229.5,2069.2,1839.7,11652,0,8,4042.0,100.0,72.3,27.7,Efficiency,True
V09,9,8,100,200,229.5,2292.4,2062.9,12933,0,8,4039.4,100.0,68.9,31.1,Efficiency,True
V10,10,7,110,200,229.5,2595.6,2366.1,14595,0,7,6373.2,100.0,62.3,37.7,Efficiency,True
