Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,10,180,200,20.1,0.0,0.0,12365,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V02,2,9,150,200,20.1,0.0,0.0,13802,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V03,3,9,170,200,20.1,0.0,0.0,14005,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V04,4,8,120,200,20.1,0.0,0.0,17533,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V05,5,10,190,200,20.1,0.0,0.0,12896,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V06,6,9,140,200,20.1,0.0,0.0,15189,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V07,7,9,150,200,20.1,0.0,0.0,12966,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V08,8,9,140,200,20.1,0.0,0.0,12611,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V09,9,8,120,200,20.1,0.0,0.0,15563,0,0,0.0,100.0,0.0,0.0,Efficiency,False
V10,10,7,110,200,20.1,0.0,0.0,14210,0,0,0.0,100.0,0.0,0.0,Efficiency,False
