Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,7,148,200,27.1,441.4,414.2,11040,6,1,29.6,100.0,92.9,7.1,Efficiency,True
V02,2,8,117,200,27.1,492.0,464.9,12482,7,1,27.4,100.0,92.1,7.9,Efficiency,True
V03,3,6,80,200,27.1,442.9,415.8,11230,5,1,26.4,100.0,93.2,6.8,Efficiency,True
V04,4,6,87,200,27.1,450.6,423.5,11537,5,1,28.5,100.0,92.9,7.1,Efficiency,True
V05,5,6,76,200,27.1,456.0,428.8,11667,5,1,31.5,100.0,92.9,7.1,Efficiency,True
V06,6,6,91,200,27.1,429.1,402.0,10929,5,1,34.2,100.0,93.3,6.7,Efficiency,True
V07,7,6,129,200,27.1,462.8,435.6,11818,5,1,26.3,100.0,92.5,7.5,Efficiency,True
V08,8,5,89,200,27.1,346.7,319.5,8696,4,1,36.5,100.0,94.7,5.3,Efficiency,True
V09,9,7,152,200,27.1,569.5,542.4,14724,6,1,40.6,100.0,90.5,9.5,Efficiency,True
V10,10,5,76,200,27.1,330.1,302.9,8228,4,1,41.1,100.0,95.0,5.0,Efficiency,True
