Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,5,100,200,5.8,188.5,182.7,4978,4,1,1.6,100.0,97.0,3.0,Efficiency,True
V02,2,4,60,200,5.8,186.9,181.0,5049,3,1,1.3,100.0,97.1,2.9,Efficiency,True
V03,3,5,60,200,5.8,177.3,171.5,4680,4,1,3.4,100.0,97.3,2.7,Efficiency,True
V04,4,4,60,200,5.8,181.9,176.1,4879,3,1,1.0,100.0,97.2,2.8,Efficiency,True
V05,5,3,80,200,5.8,169.7,163.9,4597,2,1,3.8,100.0,97.3,2.7,Efficiency,True
V06,6,1,40,200,5.8,157.0,151.1,4301,0,1,7.2,100.0,97.5,2.5,Efficiency,True
V07,7,3,60,200,5.8,163.0,157.2,4388,3,0,0.0,100.0,97.4,2.6,Efficiency,True
V08,8,2,50,200,5.8,160.3,154.4,3658,2,0,0.0,100.0,97.8,2.2,Efficiency,True
V09,9,2,40,200,5.8,218.0,212.2,6059,1,1,13.9,100.0,96.5,3.5,Efficiency,True
V10,10,2,30,200,5.8,251.2,245.4,5909,2,0,0.0,100.0,96.6,3.4,Efficiency,True
