Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V02_2,2,0,Depot,121.546115,29.872262,25.0,C010,121.530576,29.867738,25.0,1580.5,1602.7,1.014,5,0.00,118.15,118.15,15.0,13.6,100.0,98.8,40,40,119.0,149.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01_1,1,0,Depot,121.546115,29.872262,25.0,C041,121.555439,29.883570,25.0,1545.7,1589.6,1.028,7,0.00,118.41,118.41,15.0,13.4,100.0,98.7,50,50,92.0,122.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,4,0,Depot,121.546115,29.872262,25.0,C009,121.530576,29.865477,25.0,1677.6,1697.6,1.012,4,0.00,121.55,121.55,15.0,14.0,100.0,98.7,40,40,91.0,121.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,5,0,Depot,121.546115,29.872262,25.0,C022,121.546115,29.856430,25.0,1760.4,1780.4,1.011,4,0.00,122.54,122.54,15.0,14.5,100.0,98.6,60,60,92.0,122.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03_3,3,0,Depot,121.546115,29.872262,25.0,C006,121.534720,29.883570,25.0,1669.8,1715.2,1.027,5,0.00,125.58,125.58,15.0,13.7,100.0,98.6,70,70,95.0,125.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,5,1,C022,121.546115,29.856430,35.0,C020,121.547151,29.856430,25.0,100.4,109.9,1.095,4,124.47,129.28,4.81,30.0,22.8,98.6,98.5,20,20,122.0,152.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06_6,6,0,Depot,121.546115,29.872262,25.0,C050,121.562690,29.865477,25.0,1767.3,1802.5,1.020,6,0.00,132.83,132.83,15.0,13.6,100.0,98.6,30,30,116.0,146.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,7,0,Depot,121.546115,29.872262,25.0,C049,121.547151,29.855073,25.0,1913.9,1937.1,1.012,5,0.00,134.54,134.54,15.0,14.4,100.0,98.6,20,20,104.0,134.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03_3,3,1,C006,121.534720,29.883570,35.0,C046,121.534720,29.885831,25.0,251.7,261.5,1.039,4,127.53,138.55,11.02,30.0,23.7,98.6,98.4,50,50,113.0,143.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,10,0,Depot,121.546115,29.872262,25.0,C003,121.536792,29.888093,25.0,1976.6,2006.7,1.015,5,0.00,139.62,139.62,15.0,14.4,100.0,98.6,10,10,109.0,139.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,5,2,C020,121.547151,29.856430,45.0,C024,121.545079,29.856430,25.0,200.8,209.8,1.045,4,131.09,140.38,9.28,30.0,22.6,98.5,98.3,10,10,148.0,178.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,8,0,Depot,121.546115,29.872262,25.0,C001,121.538346,29.888093,25.0,1913.1,1947.4,1.018,5,0.00,144.45,144.45,15.0,13.5,100.0,98.6,20,20,145.0,175.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03_3,3,2,C046,121.534720,29.885831,45.0,C004,121.535756,29.885831,25.0,101.9,109.9,1.079,4,140.38,145.06,4.68,30.0,23.5,98.4,98.3,40,40,141.0,171.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,9,0,Depot,121.546115,29.872262,25.0,C043,121.553885,29.888093,25.0,1913.1,1964.5,1.027,6,0.00,145.49,145.49,15.0,13.5,100.0,98.5,20,20,128.0,158.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02_2,2,1,C010,121.530576,29.867738,35.0,C013,121.527987,29.865477,25.0,354.6,364.4,1.028,4,119.98,147.09,27.11,15.0,13.4,98.8,98.5,10,10,142.0,172.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,7,1,C049,121.547151,29.855073,35.0,C048,121.547151,29.851907,25.0,352.2,362.1,1.028,4,136.46,152.26,15.81,30.0,22.9,98.6,98.3,10,10,151.0,181.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,4,1,C009,121.530576,29.865477,35.0,C017,121.525397,29.870000,25.0,708.9,718.8,1.014,4,123.46,153.93,30.47,30.0,23.6,98.7,98.2,20,20,149.0,179.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01_1,1,1,C041,121.555439,29.883570,35.0,C037,121.559064,29.886736,25.0,496.2,506.1,1.020,4,120.19,154.17,33.99,15.0,14.9,98.7,98.3,30,30,124.0,154.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01_1,1,2,C037,121.559064,29.886736,45.0,C035,121.560100,29.888093,25.0,182.0,190.9,1.049,4,156.16,167.60,11.44,18.3,16.7,98.3,98.2,20,20,139.0,169.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,5,3,C024,121.545079,29.856430,55.0,Depot,121.546115,29.872262,25.0,1763.5,1773.2,1.006,4,142.22,218.42,76.20,30.0,23.3,98.3,97.1,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
