Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,4,70,200,0.0,179.2,179.2,4331,3,1,7.5,100.0,97.1,2.9,Solomon I1 Insertion / Balanced,True
V02,2,5,110,200,0.0,239.1,239.1,5147,1,4,73.9,100.0,96.4,3.6,Solomon I1 Insertion / Balanced,True
V03,3,3,70,200,0.0,179.2,179.2,4400,2,1,10.2,100.0,97.0,3.0,Solomon I1 Insertion / Balanced,True
V04,4,4,70,200,0.0,188.3,188.3,4582,3,1,7.5,100.0,96.9,3.1,Solomon I1 Insertion / Balanced,True
V05,5,3,50,200,0.0,198.1,198.1,4915,2,1,10.9,100.0,96.8,3.2,Solomon I1 Insertion / Balanced,True
V06,6,2,60,200,0.0,230.8,230.8,4404,1,1,71.5,100.0,96.9,3.1,Solomon I1 Insertion / Balanced,True
V07,7,2,40,200,0.0,164.3,164.3,4025,1,1,5.1,100.0,97.4,2.6,Solomon I1 Insertion / Balanced,True
V08,8,4,70,200,0.0,201.0,201.0,4513,2,2,21.7,100.0,97.0,3.0,Solomon I1 Insertion / Balanced,True
V09,9,3,50,200,0.0,220.4,220.4,5503,1,2,25.8,100.0,96.4,3.6,Solomon I1 Insertion / Balanced,True
V10,10,3,50,200,0.0,187.7,187.7,4374,2,1,1.4,100.0,97.1,2.9,Solomon I1 Insertion / Balanced,True
