Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,8,120,200,12.9,38964.6,38951.6,10270,0,8,132937.9,100.0,86.1,13.9,Efficiency,True
V02,2,9,160,200,12.9,46143.8,46130.9,12297,0,9,178884.7,100.0,83.2,16.8,Efficiency,True
V03,3,8,160,200,12.9,43697.6,43684.7,11469,0,8,158506.6,100.0,83.9,16.1,Efficiency,True
V04,4,7,130,200,12.9,52208.9,52195.9,13344,0,7,122519.0,100.0,81.8,18.2,Efficiency,True
V05,5,8,140,200,12.9,40356.7,40343.8,10769,0,8,139540.3,100.0,85.4,14.6,Efficiency,True
V06,6,9,160,200,12.9,34173.5,34160.6,8989,0,9,133763.6,100.0,87.4,12.6,Efficiency,True
V07,7,6,130,200,12.9,60844.0,60831.1,15400,0,6,150179.2,100.0,78.5,21.5,Efficiency,True
V08,8,8,120,200,12.9,39885.7,39872.8,10492,0,8,166152.9,100.0,85.5,14.5,Efficiency,True
V09,9,9,120,200,12.9,35311.1,35298.1,9242,0,9,163659.0,100.0,87.3,12.7,Efficiency,True
V10,10,8,180,200,12.9,41433.6,41420.7,10896,0,8,147931.8,100.0,84.8,15.2,Efficiency,True
