Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,1,10,200,0.0,145.1,145.1,3461,0,1,6.3,100.0,97.7,2.3,Greedy Insertion (100% Coverage) / Balanced,True
V02,2,1,10,200,0.0,150.5,150.5,3576,0,1,7.5,100.0,97.6,2.4,Greedy Insertion (100% Coverage) / Balanced,True
V03,3,1,10,200,0.0,153.8,153.8,3694,0,1,6.7,100.0,97.5,2.5,Greedy Insertion (100% Coverage) / Balanced,True
V04,4,2,50,200,0.0,163.2,163.2,3850,1,1,10.5,100.0,97.3,2.7,Greedy Insertion (100% Coverage) / Balanced,True
V05,5,1,20,200,0.0,169.4,169.4,4080,0,1,10.8,100.0,97.3,2.7,Greedy Insertion (100% Coverage) / Balanced,True
V06,6,2,60,200,0.0,191.9,191.9,4567,1,1,15.8,100.0,96.8,3.2,Greedy Insertion (100% Coverage) / Balanced,True
V07,7,2,30,200,0.0,174.4,174.4,4081,1,1,5.2,100.0,97.3,2.7,Greedy Insertion (100% Coverage) / Balanced,True
V08,8,1,30,200,0.0,149.3,149.3,3116,0,1,0.8,100.0,97.8,2.2,Greedy Insertion (100% Coverage) / Balanced,True
V09,9,1,10,200,0.0,217.7,217.7,5244,0,1,25.8,100.0,96.5,3.5,Greedy Insertion (100% Coverage) / Balanced,True
V10,10,1,20,200,0.0,180.7,180.7,3967,0,1,0.1,100.0,97.5,2.5,Greedy Insertion (100% Coverage) / Balanced,True
