Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V01_1,1,0,Depot,121.546115,29.872262,25.0,C042,121.553885,29.885831,25.0,1684.6,1729.4,1.027,8,0.00,91.80,91.80,15.0,18.8,100.0,98.5,10,10,33.0,63.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02_2,2,0,Depot,121.546115,29.872262,25.0,C014,121.527987,29.870000,25.0,1766.0,1801.7,1.020,6,0.00,93.25,93.25,15.0,19.3,100.0,98.5,10,10,35.0,65.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03_3,3,0,Depot,121.546115,29.872262,25.0,C039,121.556475,29.885831,25.0,1809.5,1857.3,1.026,6,0.00,95.65,95.65,15.0,19.4,100.0,98.4,10,10,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,8,0,Depot,121.546115,29.872262,25.0,C002,121.536792,29.883570,25.0,1545.7,1575.7,1.019,4,0.00,96.27,96.27,15.0,16.4,100.0,98.6,30,30,50.0,80.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,4,0,Depot,121.546115,29.872262,25.0,C045,121.535756,29.886736,25.0,1894.2,1924.2,1.016,4,0.00,97.69,97.69,15.0,19.7,100.0,98.3,50,50,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,5,0,Depot,121.546115,29.872262,25.0,C005,121.535756,29.888093,25.0,2024.0,2046.4,1.011,5,0.00,104.80,104.80,15.0,19.5,100.0,98.3,20,20,41.0,71.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,4,1,C045,121.535756,29.886736,35.0,C004,121.535756,29.885831,25.0,101.1,110.6,1.094,4,99.25,106.30,7.05,30.0,15.7,98.3,98.2,40,40,141.0,171.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,7,0,Depot,121.546115,29.872262,25.0,C047,121.526433,29.870000,25.0,1914.4,1947.4,1.017,5,0.00,107.23,107.23,15.0,18.2,100.0,98.2,30,30,45.0,75.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06_6,6,0,Depot,121.546115,29.872262,25.0,C036,121.559064,29.888093,25.0,2158.1,2220.2,1.029,6,0.00,115.68,115.68,15.0,19.2,100.0,98.0,60,60,43.0,73.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,7,1,C047,121.526433,29.870000,35.0,C017,121.525397,29.870000,25.0,100.4,109.9,1.095,4,108.83,115.68,6.85,30.0,16.0,98.2,98.1,20,20,149.0,179.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,10,0,Depot,121.546115,29.872262,25.0,C015,121.526433,29.867738,25.0,1963.4,1993.4,1.015,4,0.00,117.77,117.77,15.0,16.9,100.0,98.2,20,20,58.0,88.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06_6,6,1,C036,121.559064,29.888093,35.0,C035,121.560100,29.888093,25.0,100.4,109.9,1.095,4,117.31,124.13,6.83,30.0,16.1,98.0,97.8,20,20,139.0,169.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,9,0,Depot,121.546115,29.872262,25.0,C033,121.569424,29.860954,25.0,2575.4,2617.7,1.016,6,0.00,137.61,137.61,15.0,19.0,100.0,97.8,10,10,51.0,81.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08_8,8,1,C002,121.536792,29.883570,35.0,Depot,121.546115,29.872262,25.0,1545.7,1555.7,1.006,4,97.69,187.13,89.44,30.0,17.4,98.6,97.1,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01_1,1,1,C042,121.553885,29.885831,35.0,Depot,121.546115,29.872262,25.0,1684.6,1723.3,1.023,6,93.72,190.97,97.25,30.0,17.7,98.5,97.0,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02_2,2,1,C014,121.527987,29.870000,35.0,Depot,121.546115,29.872262,25.0,1766.0,1776.7,1.006,5,94.99,195.76,100.77,30.0,17.6,98.5,96.9,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03_3,3,1,C039,121.556475,29.885831,35.0,Depot,121.546115,29.872262,25.0,1809.5,1832.7,1.013,6,97.26,200.64,103.38,30.0,17.7,98.4,96.8,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04_4,4,2,C004,121.535756,29.885831,45.0,Depot,121.546115,29.872262,25.0,1809.6,1819.5,1.005,4,107.71,205.80,98.09,30.0,18.5,98.2,96.6,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05_5,5,1,C005,121.535756,29.888093,35.0,Depot,121.546115,29.872262,25.0,2024.0,2034.0,1.005,4,106.77,216.00,109.23,30.0,18.6,98.3,96.5,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10_10,10,1,C015,121.526433,29.867738,35.0,Depot,121.546115,29.872262,25.0,1963.4,1973.4,1.005,4,119.66,223.96,104.30,30.0,18.9,98.2,96.5,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07_7,7,2,C017,121.525397,29.870000,45.0,Depot,121.546115,29.872262,25.0,2013.6,2023.5,1.005,4,117.31,226.65,109.34,30.0,18.5,98.1,96.4,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06_6,6,2,C035,121.560100,29.888093,45.0,Depot,121.546115,29.872262,25.0,2217.5,2245.8,1.013,5,125.80,243.16,117.36,30.0,19.1,97.8,96.0,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09_9,9,1,C033,121.569424,29.860954,35.0,Depot,121.546115,29.872262,25.0,2575.4,2599.9,1.010,5,139.52,269.34,129.83,30.0,20.0,97.8,95.7,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
