Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V10,1,37,689,1000,0.0,1880.2,1880.2,21703,35,2,221.1,100.0,59.4,40.6,Clarke-Wright Savings / Balanced,True
V09,2,23,396,1000,0.0,1020.4,1020.4,14282,22,1,25.2,100.0,80.4,19.6,Clarke-Wright Savings / Balanced,True
V08,3,22,406,1000,0.0,2200.5,2200.5,19222,22,0,0.0,100.0,66.9,33.1,Clarke-Wright Savings / Balanced,True
V07,4,21,432,1000,0.0,1084.8,1084.8,13787,19,2,38.5,100.0,77.2,22.8,Clarke-Wright Savings / Balanced,True
V06,5,18,319,1000,0.0,1362.0,1362.0,11713,18,0,0.0,100.0,81.8,18.2,Clarke-Wright Savings / Balanced,True
V05,6,22,376,1000,0.0,1943.4,1943.4,16617,22,0,0.0,100.0,73.1,26.9,Clarke-Wright Savings / Balanced,True
V04,7,16,314,1000,0.0,798.9,798.9,10593,13,3,52.1,100.0,85.4,14.6,Clarke-Wright Savings / Balanced,True
V03,8,17,227,1000,0.0,1791.9,1791.9,15828,17,0,0.0,100.0,76.9,23.1,Clarke-Wright Savings / Balanced,True
V02,9,14,189,1000,0.0,977.5,977.5,14102,13,1,14.1,100.0,83.1,16.9,Clarke-Wright Savings / Balanced,True
V01,10,10,165,1000,0.0,918.6,918.6,12905,9,1,2.7,100.0,84.6,15.4,Clarke-Wright Savings / Balanced,True
