Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,2,30,200,4.5,296.8,292.4,3927,1,1,64.5,100.0,95.3,4.7,Balanced,True
V02,2,2,30,200,4.5,309.7,305.2,4081,1,1,67.0,100.0,95.1,4.9,Balanced,True
V03,3,2,50,200,4.5,293.4,288.9,3854,1,1,75.8,100.0,95.3,4.7,Balanced,True
V04,4,2,30,200,4.5,357.7,353.3,4544,0,2,89.3,100.0,94.3,5.7,Balanced,True
V05,5,2,40,200,4.5,323.7,319.2,4247,0,2,85.3,100.0,94.8,5.2,Balanced,True
V06,6,1,40,200,4.5,339.1,334.7,4404,0,1,97.1,100.0,94.5,5.5,Balanced,True
V07,7,1,10,200,4.5,290.8,286.3,3871,0,1,69.8,100.0,95.4,4.6,Balanced,True
V08,8,2,40,200,4.5,290.8,286.3,3787,0,2,45.3,100.0,95.5,4.5,Balanced,True
V09,9,1,10,200,4.5,413.7,409.2,5227,0,1,116.8,100.0,93.4,6.6,Balanced,True
V10,10,2,30,200,4.5,325.0,320.5,4210,0,2,70.0,100.0,94.9,5.1,Balanced,True
