Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V01,1,0,Depot,121.546115,29.872262,25.0,C042,121.553885,29.885831,25.0,1684.6,1732.6,1.028,6,0.00,81.32,81.32,15.0,21.3,100.0,98.3,200,200,33.0,63.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,2,0,Depot,121.546115,29.872262,25.0,C011,121.529540,29.867738,25.0,1675.5,1708.0,1.019,5,0.00,93.21,93.21,15.0,18.3,100.0,98.3,200,200,59.0,89.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,4,0,Depot,121.546115,29.872262,25.0,C006,121.534720,29.883570,25.0,1669.8,1714.9,1.027,6,0.00,125.31,125.31,15.0,13.7,100.0,98.1,200,200,95.0,125.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,3,0,Depot,121.546115,29.872262,25.0,C030,121.570978,29.863215,25.0,2599.8,2636.1,1.014,6,0.00,137.88,137.88,15.0,19.1,100.0,97.1,200,200,74.0,104.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,5,0,Depot,121.546115,29.872262,25.0,C043,121.553885,29.888093,25.0,1913.1,1955.7,1.022,6,0.00,159.25,159.25,15.0,12.3,100.0,97.7,170,170,128.0,158.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,5,1,C043,121.553885,29.888093,35.0,C035,121.560100,29.888093,25.0,599.3,614.7,1.026,6,161.16,196.41,35.24,30.0,17.4,97.7,97.0,150,150,139.0,169.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,1,1,C042,121.553885,29.885831,35.0,C014,121.527987,29.870000,25.0,3055.2,3085.1,1.010,4,82.86,258.98,176.13,30.0,17.5,98.3,94.5,190,190,35.0,65.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,3,1,C030,121.570978,29.863215,35.0,C038,121.557510,29.885831,25.0,2830.3,2840.3,1.004,4,139.81,302.95,163.13,30.0,17.4,97.1,93.6,190,190,75.0,105.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,4,1,C006,121.534720,29.883570,35.0,C049,121.547151,29.855073,25.0,3387.8,3398.1,1.003,5,127.10,323.25,196.15,18.4,17.3,98.1,93.9,180,180,104.0,134.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,5,2,C035,121.560100,29.888093,45.0,C004,121.535756,29.885831,25.0,2360.5,2376.7,1.007,6,198.31,335.45,137.14,30.0,17.3,97.0,94.3,130,130,141.0,171.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,2,1,C011,121.529540,29.867738,35.0,C027,121.574603,29.865477,25.0,4352.5,4362.5,1.002,4,95.06,343.90,248.84,30.0,17.5,98.3,93.2,160,160,62.0,92.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,3,2,C038,121.557510,29.885831,45.0,C007,121.533166,29.883570,25.0,2360.5,2370.4,1.004,4,304.58,435.93,131.35,30.0,18.0,93.6,91.0,160,160,79.0,109.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,1,2,C014,121.527987,29.870000,45.0,C039,121.556475,29.885831,25.0,3262.5,3288.0,1.008,6,260.92,444.42,183.50,30.0,17.9,94.5,90.6,180,180,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,5,3,C004,121.535756,29.885831,55.0,C013,121.527987,29.865477,25.0,2384.3,2394.1,1.004,4,337.23,469.80,132.57,30.0,18.1,94.3,91.9,90,90,142.0,172.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,4,2,C049,121.547151,29.855073,45.0,C003,121.536792,29.888093,25.0,3805.1,3825.1,1.005,4,324.96,536.14,211.18,30.0,18.1,93.9,89.5,170,170,109.0,139.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,1,3,C039,121.556475,29.885831,55.0,C045,121.535756,29.886736,25.0,2000.2,2010.0,1.005,4,446.20,557.23,111.02,30.0,18.1,90.6,88.3,170,170,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,3,3,C007,121.533166,29.883570,55.0,C040,121.556475,29.888093,25.0,2302.9,2312.7,1.004,4,437.63,565.52,127.89,30.0,18.1,91.0,88.4,140,140,85.0,115.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,1,4,C045,121.535756,29.886736,65.0,C005,121.535756,29.888093,25.0,156.1,160.9,1.031,4,558.87,569.28,10.42,30.0,15.4,88.3,88.1,160,160,41.0,71.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,2,2,C027,121.574603,29.865477,45.0,C012,121.529540,29.870000,25.0,4374.3,4404.5,1.007,5,345.71,591.16,245.45,30.0,17.9,93.2,88.3,140,140,64.0,94.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,5,4,C013,121.527987,29.865477,65.0,C001,121.538346,29.888093,25.0,2706.2,2715.9,1.004,4,471.55,621.71,150.16,30.0,18.1,91.9,89.1,80,80,145.0,175.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,1,5,C005,121.535756,29.888093,75.0,C036,121.559064,29.888093,25.0,2247.6,2277.1,1.013,4,570.94,696.64,125.70,30.0,18.1,88.1,85.6,140,140,43.0,73.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
