Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,2,30,200,7.2,193.0,185.7,3831,1,1,17.7,100.0,97.0,3.0,Balanced,True
V02,2,2,30,200,7.2,202.8,195.6,4033,1,1,19.0,100.0,96.9,3.1,Balanced,True
V03,3,2,50,200,7.2,190.3,183.1,3790,1,1,22.2,100.0,97.0,3.0,Balanced,True
V04,4,2,30,200,7.2,225.8,218.6,4443,1,1,18.7,100.0,96.5,3.5,Balanced,True
V05,5,2,40,200,7.2,209.7,202.5,4169,1,1,24.8,100.0,96.7,3.3,Balanced,True
V06,6,1,40,200,7.2,217.2,209.9,4301,0,1,30.2,100.0,96.6,3.4,Balanced,True
V07,7,1,10,200,7.2,187.9,180.7,3833,0,1,15.0,100.0,97.1,2.9,Balanced,True
V08,8,2,40,200,7.2,196.5,189.3,3721,1,1,2.1,100.0,97.1,2.9,Balanced,True
V09,9,1,10,200,7.2,259.1,251.9,5148,0,1,43.6,100.0,96.0,4.0,Balanced,True
V10,10,2,30,200,7.2,213.1,205.8,4160,1,1,9.3,100.0,96.8,3.2,Balanced,True
