Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,10,200,200,19.0,17204.2,17185.1,5090,0,10,58499.5,100.0,93.3,6.7,Efficiency,True
V02,2,10,200,200,19.0,32352.8,32333.8,9054,0,10,134364.8,100.0,87.6,12.4,Efficiency,True
V03,3,9,200,200,19.0,18490.6,18471.6,5484,0,9,61809.2,100.0,92.8,7.2,Efficiency,True
V04,4,8,190,200,19.0,35934.4,35915.4,10002,0,8,126423.6,100.0,86.2,13.8,Efficiency,True
V05,5,11,190,200,19.0,33826.0,33807.0,9229,0,11,164041.3,100.0,87.2,12.8,Efficiency,True
V06,6,11,190,200,19.0,26628.4,26609.4,7550,0,11,122211.1,100.0,89.8,10.2,Efficiency,True
V07,7,9,190,200,19.0,36930.2,36911.2,10185,0,9,121142.5,100.0,86.2,13.8,Efficiency,True
V08,8,10,180,200,19.0,22666.0,22647.0,6639,0,10,101354.0,100.0,91.2,8.8,Efficiency,True
V09,9,11,180,200,19.0,26019.9,26000.9,7432,0,11,115362.8,100.0,90.1,9.9,Efficiency,True
V10,10,11,170,200,19.0,18045.8,18026.8,5284,0,11,72884.7,100.0,93.2,6.8,Efficiency,True
