Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,3,50,200,18.1,156.5,138.4,1530,3,0,0.0,100.0,98.7,1.3,Balanced,True
V02,2,4,70,200,18.1,232.0,213.9,2229,4,0,0.0,100.0,97.9,2.1,Balanced,True
V03,3,9,120,200,18.1,574.9,556.8,5786,9,0,0.0,100.0,93.4,6.6,Balanced,True
V04,4,8,170,200,18.1,477.3,459.2,4392,8,0,0.0,100.0,95.3,4.7,Balanced,True
V05,5,6,110,200,18.1,508.8,490.7,4799,6,0,0.0,100.0,95.0,5.0,Balanced,True
V06,6,7,110,200,18.1,691.2,673.1,6564,7,0,0.0,100.0,93.1,6.9,Balanced,True
V07,7,11,200,200,18.1,681.8,663.7,6221,11,0,0.0,100.0,92.9,7.1,Balanced,True
V08,8,8,130,200,18.1,606.6,588.5,5852,8,0,0.0,100.0,93.9,6.1,Balanced,True
V09,9,9,170,200,18.1,885.0,866.9,8611,9,0,0.0,100.0,90.9,9.1,Balanced,True
V10,10,6,120,200,18.1,574.9,556.8,5378,6,0,0.0,100.0,94.3,5.7,Balanced,True
