Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,5,100,200,5.2,309.7,304.5,4978,0,5,87.5,100.0,95.0,5.0,Efficiency,True
V02,2,4,60,200,5.2,303.5,298.4,5049,1,3,64.6,100.0,95.1,4.9,Efficiency,True
V03,3,5,60,200,5.2,287.4,282.3,4680,2,3,67.3,100.0,95.5,4.5,Efficiency,True
V04,4,4,60,200,5.2,294.2,289.0,4879,0,4,111.6,100.0,95.3,4.7,Efficiency,True
V05,5,3,80,200,5.2,274.1,268.9,4597,1,2,65.1,100.0,95.5,4.5,Efficiency,True
V06,6,1,40,200,5.2,253.2,248.0,4301,0,1,49.6,100.0,95.9,4.1,Efficiency,True
V07,7,3,60,200,5.2,263.5,258.3,4388,0,3,76.9,100.0,95.7,4.3,Efficiency,True
V08,8,2,50,200,5.2,222.7,217.5,3658,0,2,16.7,100.0,96.6,3.4,Efficiency,True
V09,9,2,40,200,5.2,361.4,356.2,6059,0,2,109.4,100.0,94.2,5.8,Efficiency,True
V10,10,2,30,200,5.2,353.5,348.4,5909,0,2,94.4,100.0,94.5,5.5,Efficiency,True
