Drone,RouteIndex,LegIndex,OriginName,OriginLongitude_deg,OriginLatitude_deg,OriginAltitude_mWGS84,DestName,DestLongitude_deg,DestLatitude_deg,DestAltitude_mWGS84,StraightLineDist_m,ActualFlownDist_m,DetourRatio,WaypointCount,DepartureSimTime,ArrivalSimTime,LegDuration_simUnits,CruiseSpeed_mps,AvgSpeed_mps,DepartBattery_pct,ArriveBattery_pct,DepartCargo,ArriveCargo,DestReadyTime,DestDueTime,ArrivedOnTime,DistanceUnit,TimeUnit,SpeedUnit,AltitudeUnit,CoordSystem
V08,8,0,Depot,121.546115,29.872262,25.0,C002,121.536792,29.883570,25.0,1545.7,1575.7,1.019,4,4.47,119.39,114.92,15.0,13.7,100.0,98.2,40,40,50.0,80.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,1,0,Depot,121.546115,29.872262,25.0,C042,121.553885,29.885831,25.0,1684.6,1734.4,1.030,6,4.47,127.54,123.07,15.0,14.1,100.0,97.9,30,30,33.0,63.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,2,0,Depot,121.546115,29.872262,25.0,C014,121.527987,29.870000,25.0,1766.0,1797.8,1.018,5,4.47,132.00,127.53,15.0,14.1,100.0,97.9,30,30,35.0,65.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,3,0,Depot,121.546115,29.872262,25.0,C045,121.535756,29.886736,25.0,1894.2,1924.2,1.016,4,4.47,142.81,138.35,15.0,13.9,100.0,97.6,50,50,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,4,0,Depot,121.546115,29.872262,25.0,C039,121.556475,29.885831,25.0,1809.5,1860.3,1.028,6,4.47,142.81,138.35,15.0,13.4,100.0,97.7,30,30,37.0,67.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07,7,0,Depot,121.546115,29.872262,25.0,C047,121.526433,29.870000,25.0,1914.4,1946.0,1.017,5,4.47,144.80,140.33,15.0,13.9,100.0,97.7,10,10,45.0,75.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08,8,1,C002,121.536792,29.883570,35.0,C046,121.534720,29.885831,25.0,321.3,331.2,1.031,4,120.50,148.91,28.41,30.0,11.7,98.2,97.7,10,10,113.0,143.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,1,1,C042,121.553885,29.885831,35.0,C043,121.553885,29.888093,25.0,251.7,261.5,1.039,4,128.71,151.09,22.38,30.0,11.7,97.9,97.6,20,20,128.0,158.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,10,0,Depot,121.546115,29.872262,25.0,C015,121.526433,29.867738,25.0,1963.4,1993.4,1.015,4,4.47,151.09,146.63,15.0,13.6,100.0,97.6,30,30,58.0,88.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,5,0,Depot,121.546115,29.872262,25.0,C005,121.535756,29.888093,25.0,2024.0,2054.0,1.015,4,4.47,153.54,149.07,15.0,13.8,100.0,97.5,40,40,41.0,71.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,2,1,C014,121.527987,29.870000,35.0,C017,121.525397,29.870000,25.0,249.9,259.7,1.039,4,133.13,156.85,23.72,30.0,10.9,97.9,97.5,20,20,149.0,179.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,3,1,C045,121.535756,29.886736,35.0,C004,121.535756,29.885831,25.0,101.1,110.6,1.094,4,144.80,156.85,12.05,30.0,9.2,97.6,97.4,40,40,141.0,171.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06,6,0,Depot,121.546115,29.872262,25.0,C036,121.559064,29.888093,25.0,2158.1,2213.2,1.026,8,4.47,170.15,165.68,15.0,13.4,100.0,97.2,40,40,43.0,73.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,5,1,C005,121.535756,29.888093,35.0,C001,121.538346,29.888093,25.0,249.9,259.7,1.039,4,155.25,177.78,22.53,30.0,11.5,97.5,97.1,20,20,145.0,175.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,10,1,C015,121.526433,29.867738,35.0,C013,121.527987,29.865477,25.0,292.9,302.7,1.034,4,152.41,178.93,26.52,30.0,11.4,97.6,97.2,10,10,142.0,172.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,4,1,C039,121.556475,29.885831,35.0,C035,121.560100,29.888093,25.0,430.7,440.6,1.023,4,144.80,182.50,37.71,30.0,11.7,97.7,97.1,20,20,139.0,169.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,9,0,Depot,121.546115,29.872262,25.0,C033,121.569424,29.860954,25.0,2575.4,2617.5,1.016,5,4.47,197.79,193.32,15.0,13.5,100.0,96.8,10,10,51.0,81.0,NO,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V07,7,1,C047,121.526433,29.870000,35.0,Depot,121.546115,29.872262,25.0,1914.5,1924.9,1.005,5,146.21,290.77,144.57,30.0,13.3,97.7,95.4,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V08,8,2,C046,121.534720,29.885831,45.0,Depot,121.546115,29.872262,25.0,1866.6,1880.2,1.007,5,150.03,290.77,140.74,30.0,13.4,97.7,95.5,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V03,3,2,C004,121.535756,29.885831,45.0,Depot,121.546115,29.872262,25.0,1809.6,1819.5,1.005,4,158.07,293.36,135.29,30.0,13.4,97.4,95.3,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V01,1,2,C043,121.553885,29.888093,45.0,Depot,121.546115,29.872262,25.0,1913.2,1931.6,1.010,5,152.41,296.85,144.44,30.0,13.4,97.6,95.3,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V02,2,2,C017,121.525397,29.870000,45.0,Depot,121.546115,29.872262,25.0,2013.6,2023.5,1.005,4,158.07,309.68,151.62,30.0,13.3,97.5,95.1,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V05,5,2,C001,121.538346,29.888093,45.0,Depot,121.546115,29.872262,25.0,1913.2,1932.9,1.010,5,178.93,323.69,144.76,30.0,13.4,97.1,94.8,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V10,10,2,C013,121.527987,29.865477,45.0,Depot,121.546115,29.872262,25.0,1904.0,1913.9,1.005,4,180.03,324.98,144.95,30.0,13.2,97.2,94.9,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V06,6,1,C036,121.559064,29.888093,35.0,Depot,121.546115,29.872262,25.0,2158.2,2190.6,1.015,8,171.14,339.12,167.98,30.0,13.0,97.2,94.5,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V04,4,2,C035,121.560100,29.888093,45.0,Depot,121.546115,29.872262,25.0,2217.5,2242.7,1.011,8,183.57,357.73,174.15,30.0,12.9,97.1,94.3,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
V09,9,1,C033,121.569424,29.860954,35.0,Depot,121.546115,29.872262,25.0,2575.4,2609.8,1.013,7,198.89,413.70,214.81,30.0,12.1,96.8,93.4,0,0,0.0,340282300000000000000000000000000000000.0,YES,meters,sim_time_units,m/s,meters_WGS84,WGS84_degrees
