Drone,RouteIndex,CustomerCount,TotalDemand,VehicleCapacity,StartTime,EndTime,TotalTime,DistanceMeters,OnTimeCount,LateCount,TotalLateness,BatteryStartPct,BatteryEndPct,BatteryUsedPct,Strategy,Completed
V01,1,9,140,200,39.7,405.8,366.1,7776,8,1,4.5,100.0,93.9,6.1,Balanced,True
V02,2,10,200,200,39.7,353.7,314.1,6622,9,1,11.8,100.0,94.4,5.6,Balanced,True
V03,3,8,170,200,39.7,573.6,534.0,11609,7,1,51.5,100.0,90.6,9.4,Balanced,True
V04,4,11,170,200,39.7,413.2,373.6,5093,11,0,0.0,100.0,95.0,5.0,Balanced,True
V05,5,9,180,200,39.7,530.7,491.0,10455,8,1,53.6,100.0,91.3,8.7,Balanced,True
V06,6,8,110,200,39.7,596.5,556.9,12064,7,1,86.0,100.0,90.5,9.5,Balanced,True
V07,7,7,130,200,39.7,587.0,547.3,11920,6,1,77.3,100.0,90.5,9.5,Balanced,True
V08,8,8,130,200,39.7,563.4,523.8,10925,7,1,14.3,100.0,91.3,8.7,Balanced,True
V09,9,9,140,200,39.7,484.5,444.9,9220,8,1,16.7,100.0,92.5,7.5,Balanced,True
V10,10,8,160,200,39.7,430.2,390.6,9300,8,0,0.0,100.0,93.8,6.2,Balanced,True
